study,IPC,L1D_RD_MISSES,L1D_READS,L1D_RD_MISS_RATE,L1D_VC_HIT_RATE,L1D_N_FILL_TO_EVICT_LINES,l1d_avg_rd_byp_act,l1d_avg_rd_byp_deact,avg_l1d_rd_miss_served_cycles,intra_warp_interferences,inter_warp_interferences,inter_wi_percent,non_valid_percent,dep_chk_fail_percent,pipe_stalled_percent,total_issue_ratio,total_issue_fails,g_acc_r_mq_full,issue_bw_utilization
base-config,120.463,23036.890,30491.162,0.756,NA,0.000,NA,NA,165608.523,595.246,13493.343,0.958,0.006,0.198,0.381,6.875,2066452.837,35877.747,0.430
l1d_base_lrr_srad_v2,120.463 (+0.000%),23036.890 (+0.000%),30491.162 (+0.000%),0.756 (+0.000%),NA,0.000 (+0.000%),NA,NA,165608.523 (+0.000%),595.246 (+0.000%),13493.343 (+0.000%),0.958 (+0.000%),0.006 (+0.000%),0.198 (+0.000%),0.381 (+0.000%),6.875 (+0.000%),2066452.837 (+0.000%),35877.747 (+0.000%),0.430 (+0.000%)
l1d_with_victim_cache_ent_4_srad_v2,121.272 (+0.671%),30105.346 (+30.683%),31973.761 (+4.862%),0.942 (+24.624%),0.982,0.000 (+0.000%),NA,NA,164411.253 (-0.723%),667.486 (+12.136%),13366.189 (-0.942%),0.952 (-0.561%),0.006 (-5.932%),0.195 (-1.644%),0.385 (+1.054%),6.928 (+0.777%),2083030.268 (+0.802%),42460.380 (+18.347%),0.433 (+0.777%)
l1d_with_victim_cache_ent_8_srad_v2,122.612 (+1.784%),25971.659 (+12.739%),31235.703 (+2.442%),0.831 (+10.052%),0.136,0.000 (+0.000%),NA,NA,162057.809 (-2.144%),629.393 (+5.737%),14239.370 (+5.529%),0.958 (-0.010%),0.006 (-5.979%),0.193 (-2.494%),0.386 (+1.380%),6.924 (+0.715%),2086580.695 (+0.974%),38193.055 (+6.453%),0.433 (+0.715%)
l1d_byp_T_F_T_20_5_3_lrr_vc_ent_8_srad_v2,120.645 (+0.151%),27536.996 (+19.534%),30415.350 (-0.249%),0.905 (+19.832%),0.136,3270.548 (+inf%),NA,NA,169828.215 (+2.548%),539.253 (-9.407%),12504.539 (-7.328%),0.959 (+0.088%),0.005 (-16.202%),0.202 (+2.314%),0.378 (-0.756%),6.890 (+0.228%),2061843.619 (-0.223%),37808.702 (+5.382%),0.431 (+0.228%)
l1d_byp_T_F_T_20_5_3_lrr_srad_v2,124.142 (+3.054%),22150.859 (-3.846%),28046.444 (-8.018%),0.790 (+4.535%),NA,3236.738 (+inf%),NA,NA,162697.359 (-1.758%),616.087 (+3.501%),13678.788 (+1.374%),0.957 (-0.119%),0.007 (+2.428%),0.202 (+2.235%),0.372 (-2.250%),6.950 (+1.096%),1995977.256 (-3.410%),35047.849 (-2.313%),0.434 (+1.096%)
l1d_vc_ent_8_only_insert_clean_ln_srad_v2,120.968 (+0.419%),28896.523 (+25.436%),31500.467 (+3.310%),0.917 (+21.417%),0.225,0.000 (+0.000%),NA,NA,167825.851 (+1.339%),738.624 (+24.087%),14432.920 (+6.963%),0.951 (-0.713%),0.006 (-1.095%),0.199 (+0.511%),0.380 (-0.185%),6.943 (+0.992%),2056390.772 (-0.487%),38664.303 (+7.767%),0.434 (+0.992%)
l1d_vc_ent_16_only_insert_clean_ln_srad_v2,120.968 (+0.419%),28896.523 (+25.436%),31500.467 (+3.310%),0.917 (+21.417%),0.225,0.000 (+0.000%),NA,NA,167825.851 (+1.339%),738.624 (+24.087%),14432.920 (+6.963%),0.951 (-0.713%),0.006 (-1.095%),0.199 (+0.511%),0.380 (-0.185%),6.943 (+0.992%),2056390.772 (-0.487%),38664.303 (+7.767%),0.434 (+0.992%)
l1d_vc_ent_32_only_insert_clean_ln_srad_v2,118.601 (-1.546%),26141.412 (+13.476%),30481.963 (-0.030%),0.858 (+13.511%),0.037,0.000 (+0.000%),NA,NA,164209.541 (-0.845%),663.686 (+11.498%),13609.396 (+0.860%),0.953 (-0.510%),0.006 (-8.893%),0.199 (+0.592%),0.381 (+0.053%),6.885 (+0.143%),2072226.248 (+0.279%),38704.812 (+7.880%),0.430 (+0.143%)
l1d_with_victim_cache_ent_12_srad_v2,118.937 (-1.267%),24232.517 (+5.190%),33042.463 (+8.367%),0.733 (-2.932%),0.936,0.000 (+0.000%),NA,NA,170063.068 (+2.690%),641.716 (+7.807%),13899.641 (+3.011%),0.956 (-0.208%),0.006 (-6.536%),0.193 (-2.506%),0.389 (+2.183%),6.846 (-0.422%),2123125.693 (+2.743%),38074.826 (+6.124%),0.428 (-0.422%)
l1d_with_victim_cache_ent_16_srad_v2,121.568 (+0.917%),29310.986 (+27.235%),32548.376 (+6.747%),0.901 (+19.193%),0.912,0.000 (+0.000%),NA,NA,164984.253 (-0.377%),574.544 (-3.478%),14262.099 (+5.697%),0.961 (+0.351%),0.006 (-0.283%),0.195 (-1.632%),0.384 (+0.925%),6.874 (-0.010%),2067539.354 (+0.053%),41588.368 (+15.917%),0.430 (-0.010%)
l1d_with_victim_cache_ent_32_srad_v2,120.761 (+0.248%),26283.917 (+14.095%),31123.366 (+2.073%),0.845 (+11.777%),0.915,0.000 (+0.000%),NA,NA,166366.284 (+0.458%),614.267 (+3.195%),14179.425 (+5.085%),0.958 (+0.075%),0.006 (-0.811%),0.197 (-0.531%),0.381 (-0.022%),6.883 (+0.121%),2036171.592 (-1.465%),37042.073 (+3.245%),0.430 (+0.121%)
