variant benchmark kernel_index ipc_base ipc_tuned ipc_gain_pct read_base read_tuned read_change_pct write_base write_tuned write_change_pct ipc_gain_class read_change_class write_change_class
miss-q-ent-32-and-mshr-max-merge-32 backprop-rodinia-2.0-ft 1 834.9478 849.079 1.692 42836 4880 -88.608 6884 2276 -66.938 better better better
miss-q-ent-32-and-mshr-max-merge-32 backprop-rodinia-2.0-ft 2 371.7225 386.9834 4.105 179145 20615 -88.493 9739 2489 -74.443 better better better
miss-q-ent-64-and-mshr-max-merge-32 backprop-rodinia-2.0-ft 1 834.9478 850.0828 1.813 42836 307 -99.283 6884 30 -99.564 better better better
miss-q-ent-64-and-mshr-max-merge-32 backprop-rodinia-2.0-ft 2 371.7225 397.742 7.000 179145 5998 -96.652 9739 30 -99.692 better better better
miss-q-ent-128-and-mshr-max-merge-32 backprop-rodinia-2.0-ft 1 834.9478 849.079 1.692 42836 0 -100.000 6884 0 -100.000 better better better
miss-q-ent-128-and-mshr-max-merge-32 backprop-rodinia-2.0-ft 2 371.7225 396.9019 6.774 179145 0 -100.000 9739 0 -100.000 better better better
miss-q-ent-256-and-mshr-max-merge-32 backprop-rodinia-2.0-ft 1 834.9478 849.079 1.692 42836 0 -100.000 6884 0 -100.000 better better better
miss-q-ent-256-and-mshr-max-merge-32 backprop-rodinia-2.0-ft 2 371.7225 396.9019 6.774 179145 0 -100.000 9739 0 -100.000 better better better
miss-q-ent-288-and-mshr-max-merge-32 backprop-rodinia-2.0-ft 1 834.9478 849.079 1.692 42836 0 -100.000 6884 0 -100.000 better better better
miss-q-ent-288-and-mshr-max-merge-32 backprop-rodinia-2.0-ft 2 371.7225 396.9019 6.774 179145 0 -100.000 9739 0 -100.000 better better better
miss-q-ent-320-and-mshr-max-merge-32 backprop-rodinia-2.0-ft 1 834.9478 849.079 1.692 42836 0 -100.000 6884 0 -100.000 better better better
miss-q-ent-320-and-mshr-max-merge-32 backprop-rodinia-2.0-ft 2 371.7225 396.9019 6.774 179145 0 -100.000 9739 0 -100.000 better better better
miss-q-ent-352-and-mshr-max-merge-32 backprop-rodinia-2.0-ft 1 834.9478 849.079 1.692 42836 0 -100.000 6884 0 -100.000 better better better
miss-q-ent-352-and-mshr-max-merge-32 backprop-rodinia-2.0-ft 2 371.7225 396.9019 6.774 179145 0 -100.000 9739 0 -100.000 better better better
miss-q-ent-384-and-mshr-max-merge-32 backprop-rodinia-2.0-ft 1 834.9478 849.079 1.692 42836 0 -100.000 6884 0 -100.000 better better better
miss-q-ent-384-and-mshr-max-merge-32 backprop-rodinia-2.0-ft 2 371.7225 396.9019 6.774 179145 0 -100.000 9739 0 -100.000 better better better
miss-q-ent-512-and-mshr-max-merge-32 backprop-rodinia-2.0-ft 1 834.9478 849.079 1.692 42836 0 -100.000 6884 0 -100.000 better better better
miss-q-ent-512-and-mshr-max-merge-32 backprop-rodinia-2.0-ft 2 371.7225 396.9019 6.774 179145 0 -100.000 9739 0 -100.000 better better better
gpgpusim-iter-II-mshr-entries-1024 backprop-rodinia-2.0-ft 1 834.9478 849.079 1.692 42836 0 -100.000 6884 0 -100.000 better better better
gpgpusim-iter-II-mshr-entries-1024 backprop-rodinia-2.0-ft 2 371.7225 396.9019 6.774 179145 0 -100.000 9739 0 -100.000 better better better
dse-iter-II-mshr-ent-1024-mq-ent-wp-wb backprop-rodinia-2.0-ft 1 834.9478 872.0765 4.447 42836 0 -100.000 6884 0 -100.000 better better better
dse-iter-II-mshr-ent-1024-mq-ent-wp-wb backprop-rodinia-2.0-ft 2 371.7225 413.5583 11.255 179145 0 -100.000 9739 0 -100.000 better better better
dse-iter-II-mshr-ent-1024-miss-q-ent-512-mq-ent-wp-wb backprop-rodinia-2.0-ft 1 834.9478 872.0765 4.447 42836 0 -100.000 6884 0 -100.000 better better better
